ward_number,municipality,district,province
7,Naumule Rural Municipality,Dailekh,Karnali
8,Naumule Rural Municipality,Dailekh,Karnali
1,Mahabu Rural Municipality,Dailekh,Karnali
2,Mahabu Rural Municipality,Dailekh,Karnali
3,Mahabu Rural Municipality,Dailekh,Karnali
4,Mahabu Rural Municipality,Dailekh,Karnali
5,Mahabu Rural Municipality,Dailekh,Karnali
6,Mahabu Rural Municipality,Dailekh,Karnali
1,Thantikandh Rural Municipality,Dailekh,Karnali
2,Thantikandh Rural Municipality,Dailekh,Karnali
3,Thantikandh Rural Municipality,Dailekh,Karnali
4,Thantikandh Rural Municipality,Dailekh,Karnali
5,Thantikandh Rural Municipality,Dailekh,Karnali
6,Thantikandh Rural Municipality,Dailekh,Karnali
1,Bhagawatimai Rural Municipality,Dailekh,Karnali
2,Bhagawatimai Rural Municipality,Dailekh,Karnali
3,Bhagawatimai Rural Municipality,Dailekh,Karnali
4,Bhagawatimai Rural Municipality,Dailekh,Karnali
5,Bhagawatimai Rural Municipality,Dailekh,Karnali
6,Bhagawatimai Rural Municipality,Dailekh,Karnali
7,Bhagawatimai Rural Municipality,Dailekh,Karnali
1,Dungeshwar Rural Municipality,Dailekh,Karnali
2,Dungeshwar Rural Municipality,Dailekh,Karnali
3,Dungeshwar Rural Municipality,Dailekh,Karnali
4,Dungeshwar Rural Municipality,Dailekh,Karnali
5,Dungeshwar Rural Municipality,Dailekh,Karnali
6,Dungeshwar Rural Municipality,Dailekh,Karnali
1,Aathabis Municipality,Dailekh,Karnali
2,Aathabis Municipality,Dailekh,Karnali
3,Aathabis Municipality,Dailekh,Karnali
4,Aathabis Municipality,Dailekh,Karnali
5,Aathabis Municipality,Dailekh,Karnali
6,Aathabis Municipality,Dailekh,Karnali
7,Aathabis Municipality,Dailekh,Karnali
8,Aathabis Municipality,Dailekh,Karnali
9,Aathabis Municipality,Dailekh,Karnali
1,Narayan Municipality,Dailekh,Karnali
2,Narayan Municipality,Dailekh,Karnali
3,Narayan Municipality,Dailekh,Karnali
4,Narayan Municipality,Dailekh,Karnali
5,Narayan Municipality,Dailekh,Karnali
6,Narayan Municipality,Dailekh,Karnali
7,Narayan Municipality,Dailekh,Karnali
8,Narayan Municipality,Dailekh,Karnali
9,Narayan Municipality,Dailekh,Karnali
10,Narayan Municipality,Dailekh,Karnali
11,Narayan Municipality,Dailekh,Karnali
1,Chamunda Bindrasaini Municipality,Dailekh,Karnali
2,Chamunda Bindrasaini Municipality,Dailekh,Karnali
3,Chamunda Bindrasaini Municipality,Dailekh,Karnali
4,Chamunda Bindrasaini Municipality,Dailekh,Karnali
5,Chamunda Bindrasaini Municipality,Dailekh,Karnali
6,Chamunda Bindrasaini Municipality,Dailekh,Karnali
7,Chamunda Bindrasaini Municipality,Dailekh,Karnali
8,Chamunda Bindrasaini Municipality,Dailekh,Karnali
9,Chamunda Bindrasaini Municipality,Dailekh,Karnali
1,Chhedagad Municipality,Jajarkot,Karnali
2,Chhedagad Municipality,Jajarkot,Karnali
3,Chhedagad Municipality,Jajarkot,Karnali
4,Chhedagad Municipality,Jajarkot,Karnali
5,Chhedagad Municipality,Jajarkot,Karnali
6,Chhedagad Municipality,Jajarkot,Karnali
7,Chhedagad Municipality,Jajarkot,Karnali
8,Chhedagad Municipality,Jajarkot,Karnali
9,Chhedagad Municipality,Jajarkot,Karnali
10,Chhedagad Municipality,Jajarkot,Karnali
11,Chhedagad Municipality,Jajarkot,Karnali
12,Chhedagad Municipality,Jajarkot,Karnali
13,Chhedagad Municipality,Jajarkot,Karnali
1,Bheri Municipality,Jajarkot,Karnali
2,Bheri Municipality,Jajarkot,Karnali
3,Bheri Municipality,Jajarkot,Karnali
4,Bheri Municipality,Jajarkot,Karnali
5,Bheri Municipality,Jajarkot,Karnali
6,Bheri Municipality,Jajarkot,Karnali
7,Bheri Municipality,Jajarkot,Karnali
8,Bheri Municipality,Jajarkot,Karnali
9,Bheri Municipality,Jajarkot,Karnali
10,Bheri Municipality,Jajarkot,Karnali
11,Bheri Municipality,Jajarkot,Karnali
12,Bheri Municipality,Jajarkot,Karnali
13,Bheri Municipality,Jajarkot,Karnali
1,Nalgad Municipality,Jajarkot,Karnali
2,Nalgad Municipality,Jajarkot,Karnali
3,Nalgad Municipality,Jajarkot,Karnali
4,Nalgad Municipality,Jajarkot,Karnali
5,Nalgad Municipality,Jajarkot,Karnali
6,Nalgad Municipality,Jajarkot,Karnali
7,Nalgad Municipality,Jajarkot,Karnali
8,Nalgad Municipality,Jajarkot,Karnali
9,Nalgad Municipality,Jajarkot,Karnali
10,Nalgad Municipality,Jajarkot,Karnali
11,Nalgad Municipality,Jajarkot,Karnali
12,Nalgad Municipality,Jajarkot,Karnali
13,Nalgad Municipality,Jajarkot,Karnali
1,Junichande Rural Municipality,Jajarkot,Karnali
2,Junichande Rural Municipality,Jajarkot,Karnali
3,Junichande Rural Municipality,Jajarkot,Karnali
4,Junichande Rural Municipality,Jajarkot,Karnali
5,Junichande Rural Municipality,Jajarkot,Karnali
6,Junichande Rural Municipality,Jajarkot,Karnali
7,Junichande Rural Municipality,Jajarkot,Karnali
8,Junichande Rural Municipality,Jajarkot,Karnali
9,Junichande Rural Municipality,Jajarkot,Karnali
10,Junichande Rural Municipality,Jajarkot,Karnali
11,Junichande Rural Municipality,Jajarkot,Karnali
1,Kuse Rural Municipality,Jajarkot,Karnali
2,Kuse Rural Municipality,Jajarkot,Karnali
3,Kuse Rural Municipality,Jajarkot,Karnali
4,Kuse Rural Municipality,Jajarkot,Karnali
5,Kuse Rural Municipality,Jajarkot,Karnali
6,Kuse Rural Municipality,Jajarkot,Karnali
7,Kuse Rural Municipality,Jajarkot,Karnali
8,Kuse Rural Municipality,Jajarkot,Karnali
9,Kuse Rural Municipality,Jajarkot,Karnali
1,Barekot Rural Municipality,Jajarkot,Karnali
2,Barekot Rural Municipality,Jajarkot,Karnali
3,Barekot Rural Municipality,Jajarkot,Karnali
4,Barekot Rural Municipality,Jajarkot,Karnali
5,Barekot Rural Municipality,Jajarkot,Karnali
6,Barekot Rural Municipality,Jajarkot,Karnali
7,Barekot Rural Municipality,Jajarkot,Karnali
8,Barekot Rural Municipality,Jajarkot,Karnali
9,Barekot Rural Municipality,Jajarkot,Karnali
1,Shivalaya Rural Municipality,Jajarkot,Karnali
2,Shivalaya Rural Municipality,Jajarkot,Karnali
3,Shivalaya Rural Municipality,Jajarkot,Karnali
4,Shivalaya Rural Municipality,Jajarkot,Karnali
5,Shivalaya Rural Municipality,Jajarkot,Karnali
6,Shivalaya Rural Municipality,Jajarkot,Karnali
7,Shivalaya Rural Municipality,Jajarkot,Karnali
8,Shivalaya Rural Municipality,Jajarkot,Karnali
9,Shivalaya Rural Municipality,Jajarkot,Karnali
1,Mahakali Municipality,Darchula,Sudur Paschimanchal
2,Mahakali Municipality,Darchula,Sudur Paschimanchal
3,Mahakali Municipality,Darchula,Sudur Paschimanchal
4,Mahakali Municipality,Darchula,Sudur Paschimanchal
5,Mahakali Municipality,Darchula,Sudur Paschimanchal
6,Mahakali Municipality,Darchula,Sudur Paschimanchal
7,Mahakali Municipality,Darchula,Sudur Paschimanchal
8,Mahakali Municipality,Darchula,Sudur Paschimanchal
9,Mahakali Municipality,Darchula,Sudur Paschimanchal
1,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
2,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
3,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
4,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
5,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
6,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
7,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
8,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
9,Shailyashikhar Municipality,Darchula,Sudur Paschimanchal
1,Naugad Rural Municipality,Darchula,Sudur Paschimanchal
2,Naugad Rural Municipality,Darchula,Sudur Paschimanchal
3,Naugad Rural Municipality,Darchula,Sudur Paschimanchal
4,Naugad Rural Municipality,Darchula,Sudur Paschimanchal
5,Naugad Rural Municipality,Darchula,Sudur Paschimanchal
6,Naugad Rural Municipality,Darchula,Sudur Paschimanchal
1,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
2,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
3,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
4,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
5,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
6,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
7,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
8,Malikarjun Rural Municipality,Darchula,Sudur Paschimanchal
1,Marma Rural Municipality,Darchula,Sudur Paschimanchal
2,Marma Rural Municipality,Darchula,Sudur Paschimanchal
3,Marma Rural Municipality,Darchula,Sudur Paschimanchal
4,Marma Rural Municipality,Darchula,Sudur Paschimanchal
5,Marma Rural Municipality,Darchula,Sudur Paschimanchal
6,Marma Rural Municipality,Darchula,Sudur Paschimanchal
1,Lekam Rural Municipality,Darchula,Sudur Paschimanchal
2,Lekam Rural Municipality,Darchula,Sudur Paschimanchal
3,Lekam Rural Municipality,Darchula,Sudur Paschimanchal
4,Lekam Rural Municipality,Darchula,Sudur Paschimanchal
5,Lekam Rural Municipality,Darchula,Sudur Paschimanchal
6,Lekam Rural Municipality,Darchula,Sudur Paschimanchal
1,Duhun Rural Municipality,Darchula,Sudur Paschimanchal
2,Duhun Rural Municipality,Darchula,Sudur Paschimanchal
3,Duhun Rural Municipality,Darchula,Sudur Paschimanchal
4,Duhun Rural Municipality,Darchula,Sudur Paschimanchal
5,Duhun Rural Municipality,Darchula,Sudur Paschimanchal
1,Vyans Rural Municipality,Darchula,Sudur Paschimanchal
2,Vyans Rural Municipality,Darchula,Sudur Paschimanchal
3,Vyans Rural Municipality,Darchula,Sudur Paschimanchal
4,Vyans Rural Municipality,Darchula,Sudur Paschimanchal
5,Vyans Rural Municipality,Darchula,Sudur Paschimanchal
6,Vyans Rural Municipality,Darchula,Sudur Paschimanchal
1,Apihimal Rural Municipality,Darchula,Sudur Paschimanchal
2,Apihimal Rural Municipality,Darchula,Sudur Paschimanchal
3,Apihimal Rural Municipality,Darchula,Sudur Paschimanchal
4,Apihimal Rural Municipality,Darchula,Sudur Paschimanchal
5,Apihimal Rural Municipality,Darchula,Sudur Paschimanchal
6,Apihimal Rural Municipality,Darchula,Sudur Paschimanchal
1,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
2,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
3,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
4,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
5,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
6,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
7,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
8,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
9,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
10,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
11,Jayaprithvi Municipality,Bajhang,Sudur Paschimanchal
1,Bungal Municipality,Bajhang,Sudur Paschimanchal
2,Bungal Municipality,Bajhang,Sudur Paschimanchal
3,Bungal Municipality,Bajhang,Sudur Paschimanchal
4,Bungal Municipality,Bajhang,Sudur Paschimanchal
5,Bungal Municipality,Bajhang,Sudur Paschimanchal
6,Bungal Municipality,Bajhang,Sudur Paschimanchal
7,Bungal Municipality,Bajhang,Sudur Paschimanchal
8,Bungal Municipality,Bajhang,Sudur Paschimanchal
9,Bungal Municipality,Bajhang,Sudur Paschimanchal
10,Bungal Municipality,Bajhang,Sudur Paschimanchal
11,Bungal Municipality,Bajhang,Sudur Paschimanchal
1,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
2,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
3,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
4,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
5,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
6,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
7,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
8,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
9,Kedarsyu Rural Municipality,Bajhang,Sudur Paschimanchal
1,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
2,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
3,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
4,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
5,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
6,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
7,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
8,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
9,Thalara Rural Municipality,Bajhang,Sudur Paschimanchal
1,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
2,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
3,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
4,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
5,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
6,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
7,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
8,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
9,Bitthadchir Rural Municipality,Bajhang,Sudur Paschimanchal
1,Chhabis Pathibhera Rural Municipality,Bajhang,Sudur Paschimanchal
2,Chhabis Pathibhera Rural Municipality,Bajhang,Sudur Paschimanchal
3,Chhabis Pathibhera Rural Municipality,Bajhang,Sudur Paschimanchal
4,Chhabis Pathibhera Rural Municipality,Bajhang,Sudur Paschimanchal
5,Chhabis Pathibhera Rural Municipality,Bajhang,Sudur Paschimanchal
6,Chhabis Pathibhera Rural Municipality,Bajhang,Sudur Paschimanchal
7,Chhabis Pathibhera Rural Municipality,Bajhang,Sudur Paschimanchal
1,Khaptadchhanna Rural Municipality,Bajhang,Sudur Paschimanchal
2,Khaptadchhanna Rural Municipality,Bajhang,Sudur Paschimanchal
3,Khaptadchhanna Rural Municipality,Bajhang,Sudur Paschimanchal
4,Khaptadchhanna Rural Municipality,Bajhang,Sudur Paschimanchal
5,Khaptadchhanna Rural Municipality,Bajhang,Sudur Paschimanchal
6,Khaptadchhanna Rural Municipality,Bajhang,Sudur Paschimanchal
7,Khaptadchhanna Rural Municipality,Bajhang,Sudur Paschimanchal
1,Masta Rural Municipality,Bajhang,Sudur Paschimanchal
2,Masta Rural Municipality,Bajhang,Sudur Paschimanchal
3,Masta Rural Municipality,Bajhang,Sudur Paschimanchal
4,Masta Rural Municipality,Bajhang,Sudur Paschimanchal
5,Masta Rural Municipality,Bajhang,Sudur Paschimanchal
6,Masta Rural Municipality,Bajhang,Sudur Paschimanchal
7,Masta Rural Municipality,Bajhang,Sudur Paschimanchal
1,Durgathali Rural Municipality,Bajhang,Sudur Paschimanchal
2,Durgathali Rural Municipality,Bajhang,Sudur Paschimanchal
3,Durgathali Rural Municipality,Bajhang,Sudur Paschimanchal
4,Durgathali Rural Municipality,Bajhang,Sudur Paschimanchal
5,Durgathali Rural Municipality,Bajhang,Sudur Paschimanchal
6,Durgathali Rural Municipality,Bajhang,Sudur Paschimanchal
7,Durgathali Rural Municipality,Bajhang,Sudur Paschimanchal
1,Talkot Rural Municipality,Bajhang,Sudur Paschimanchal
2,Talkot Rural Municipality,Bajhang,Sudur Paschimanchal
3,Talkot Rural Municipality,Bajhang,Sudur Paschimanchal
4,Talkot Rural Municipality,Bajhang,Sudur Paschimanchal
5,Talkot Rural Municipality,Bajhang,Sudur Paschimanchal
6,Talkot Rural Municipality,Bajhang,Sudur Paschimanchal
7,Talkot Rural Municipality,Bajhang,Sudur Paschimanchal
1,Surma Rural Municipality,Bajhang,Sudur Paschimanchal
2,Surma Rural Municipality,Bajhang,Sudur Paschimanchal
3,Surma Rural Municipality,Bajhang,Sudur Paschimanchal
4,Surma Rural Municipality,Bajhang,Sudur Paschimanchal
5,Surma Rural Municipality,Bajhang,Sudur Paschimanchal
1,Saipal Rural Municipality,Bajhang,Sudur Paschimanchal
2,Saipal Rural Municipality,Bajhang,Sudur Paschimanchal
3,Saipal Rural Municipality,Bajhang,Sudur Paschimanchal
4,Saipal Rural Municipality,Bajhang,Sudur Paschimanchal
5,Saipal Rural Municipality,Bajhang,Sudur Paschimanchal
1,Badimalika Municipality,Bajura,Sudur Paschimanchal
2,Badimalika Municipality,Bajura,Sudur Paschimanchal
3,Badimalika Municipality,Bajura,Sudur Paschimanchal
4,Badimalika Municipality,Bajura,Sudur Paschimanchal
5,Badimalika Municipality,Bajura,Sudur Paschimanchal
6,Badimalika Municipality,Bajura,Sudur Paschimanchal
7,Badimalika Municipality,Bajura,Sudur Paschimanchal
8,Badimalika Municipality,Bajura,Sudur Paschimanchal
9,Badimalika Municipality,Bajura,Sudur Paschimanchal
1,Triveni Municipality,Bajura,Sudur Paschimanchal
2,Triveni Municipality,Bajura,Sudur Paschimanchal
3,Triveni Municipality,Bajura,Sudur Paschimanchal
4,Triveni Municipality,Bajura,Sudur Paschimanchal
5,Triveni Municipality,Bajura,Sudur Paschimanchal
6,Triveni Municipality,Bajura,Sudur Paschimanchal
7,Triveni Municipality,Bajura,Sudur Paschimanchal
8,Triveni Municipality,Bajura,Sudur Paschimanchal
9,Triveni Municipality,Bajura,Sudur Paschimanchal
1,Budhiganga Municipality,Bajura,Sudur Paschimanchal
2,Budhiganga Municipality,Bajura,Sudur Paschimanchal
3,Budhiganga Municipality,Bajura,Sudur Paschimanchal
4,Budhiganga Municipality,Bajura,Sudur Paschimanchal
5,Budhiganga Municipality,Bajura,Sudur Paschimanchal
6,Budhiganga Municipality,Bajura,Sudur Paschimanchal
7,Budhiganga Municipality,Bajura,Sudur Paschimanchal
8,Budhiganga Municipality,Bajura,Sudur Paschimanchal
9,Budhiganga Municipality,Bajura,Sudur Paschimanchal
10,Budhiganga Municipality,Bajura,Sudur Paschimanchal
1,Budhinanda Municipality,Bajura,Sudur Paschimanchal
2,Budhinanda Municipality,Bajura,Sudur Paschimanchal
3,Budhinanda Municipality,Bajura,Sudur Paschimanchal
4,Budhinanda Municipality,Bajura,Sudur Paschimanchal
5,Budhinanda Municipality,Bajura,Sudur Paschimanchal
6,Budhinanda Municipality,Bajura,Sudur Paschimanchal
7,Budhinanda Municipality,Bajura,Sudur Paschimanchal
8,Budhinanda Municipality,Bajura,Sudur Paschimanchal
9,Budhinanda Municipality,Bajura,Sudur Paschimanchal
10,Budhinanda Municipality,Bajura,Sudur Paschimanchal
1,Khaptad Chhededaha Rural Municipality,Bajura,Sudur Paschimanchal
2,Khaptad Chhededaha Rural Municipality,Bajura,Sudur Paschimanchal
3,Khaptad Chhededaha Rural Municipality,Bajura,Sudur Paschimanchal
4,Khaptad Chhededaha Rural Municipality,Bajura,Sudur Paschimanchal
5,Khaptad Chhededaha Rural Municipality,Bajura,Sudur Paschimanchal
6,Khaptad Chhededaha Rural Municipality,Bajura,Sudur Paschimanchal
7,Khaptad Chhededaha Rural Municipality,Bajura,Sudur Paschimanchal
1,Swami Kartik Khapar Rural Municipality,Bajura,Sudur Paschimanchal
2,Swami Kartik Khapar Rural Municipality,Bajura,Sudur Paschimanchal
3,Swami Kartik Khapar Rural Municipality,Bajura,Sudur Paschimanchal
4,Swami Kartik Khapar Rural Municipality,Bajura,Sudur Paschimanchal
5,Swami Kartik Khapar Rural Municipality,Bajura,Sudur Paschimanchal
1,Jagannath Rural Municipality,Bajura,Sudur Paschimanchal
2,Jagannath Rural Municipality,Bajura,Sudur Paschimanchal
3,Jagannath Rural Municipality,Bajura,Sudur Paschimanchal
4,Jagannath Rural Municipality,Bajura,Sudur Paschimanchal
5,Jagannath Rural Municipality,Bajura,Sudur Paschimanchal
6,Jagannath Rural Municipality,Bajura,Sudur Paschimanchal
1,Himali Rural Municipality,Bajura,Sudur Paschimanchal
2,Himali Rural Municipality,Bajura,Sudur Paschimanchal
3,Himali Rural Municipality,Bajura,Sudur Paschimanchal
4,Himali Rural Municipality,Bajura,Sudur Paschimanchal
5,Himali Rural Municipality,Bajura,Sudur Paschimanchal
6,Himali Rural Municipality,Bajura,Sudur Paschimanchal
7,Himali Rural Municipality,Bajura,Sudur Paschimanchal
1,Gaumul Rural Municipality,Bajura,Sudur Paschimanchal
2,Gaumul Rural Municipality,Bajura,Sudur Paschimanchal
3,Gaumul Rural Municipality,Bajura,Sudur Paschimanchal
4,Gaumul Rural Municipality,Bajura,Sudur Paschimanchal
5,Gaumul Rural Municipality,Bajura,Sudur Paschimanchal
6,Gaumul Rural Municipality,Bajura,Sudur Paschimanchal
1,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
2,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
3,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
4,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
5,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
6,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
7,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
8,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
9,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
10,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
11,Dashrathchanda Municipality,Baitadi,Sudur Paschimanchal
1,Patan Municipality,Baitadi,Sudur Paschimanchal
2,Patan Municipality,Baitadi,Sudur Paschimanchal
3,Patan Municipality,Baitadi,Sudur Paschimanchal
4,Patan Municipality,Baitadi,Sudur Paschimanchal
5,Patan Municipality,Baitadi,Sudur Paschimanchal
6,Patan Municipality,Baitadi,Sudur Paschimanchal
7,Patan Municipality,Baitadi,Sudur Paschimanchal
8,Patan Municipality,Baitadi,Sudur Paschimanchal
9,Patan Municipality,Baitadi,Sudur Paschimanchal
10,Patan Municipality,Baitadi,Sudur Paschimanchal
1,Melauli Municipality,Baitadi,Sudur Paschimanchal
2,Melauli Municipality,Baitadi,Sudur Paschimanchal
3,Melauli Municipality,Baitadi,Sudur Paschimanchal
4,Melauli Municipality,Baitadi,Sudur Paschimanchal
5,Melauli Municipality,Baitadi,Sudur Paschimanchal
6,Melauli Municipality,Baitadi,Sudur Paschimanchal
7,Melauli Municipality,Baitadi,Sudur Paschimanchal
8,Melauli Municipality,Baitadi,Sudur Paschimanchal
9,Melauli Municipality,Baitadi,Sudur Paschimanchal
1,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
2,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
3,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
4,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
5,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
6,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
7,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
8,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
9,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
10,Purchaudi Municipality,Baitadi,Sudur Paschimanchal
1,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
2,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
3,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
4,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
5,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
6,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
7,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
8,Dogdakedar Rural Municipality,Baitadi,Sudur Paschimanchal
1,Dilashaini Rural Municipality,Baitadi,Sudur Paschimanchal
2,Dilashaini Rural Municipality,Baitadi,Sudur Paschimanchal
3,Dilashaini Rural Municipality,Baitadi,Sudur Paschimanchal
4,Dilashaini Rural Municipality,Baitadi,Sudur Paschimanchal
5,Dilashaini Rural Municipality,Baitadi,Sudur Paschimanchal
6,Dilashaini Rural Municipality,Baitadi,Sudur Paschimanchal
7,Dilashaini Rural Municipality,Baitadi,Sudur Paschimanchal
1,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
2,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
3,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
4,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
5,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
6,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
7,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
8,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
9,Sigas Rural Municipality,Baitadi,Sudur Paschimanchal
1,Pancheshwar Rural Municipality,Baitadi,Sudur Paschimanchal
2,Pancheshwar Rural Municipality,Baitadi,Sudur Paschimanchal
3,Pancheshwar Rural Municipality,Baitadi,Sudur Paschimanchal
4,Pancheshwar Rural Municipality,Baitadi,Sudur Paschimanchal
5,Pancheshwar Rural Municipality,Baitadi,Sudur Paschimanchal
6,Pancheshwar Rural Municipality,Baitadi,Sudur Paschimanchal
1,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
2,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
3,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
4,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
5,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
6,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
7,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
8,Surnaya Rural Municipality,Baitadi,Sudur Paschimanchal
1,Shivanath Rural Municipality,Baitadi,Sudur Paschimanchal
2,Shivanath Rural Municipality,Baitadi,Sudur Paschimanchal
3,Shivanath Rural Municipality,Baitadi,Sudur Paschimanchal
4,Shivanath Rural Municipality,Baitadi,Sudur Paschimanchal
5,Shivanath Rural Municipality,Baitadi,Sudur Paschimanchal
6,Shivanath Rural Municipality,Baitadi,Sudur Paschimanchal
1,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
2,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
3,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
4,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
5,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
6,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
7,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
8,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
9,Dipayal Silgadhi Municipality,Doti,Sudur Paschimanchal
1,Shikhar Municipality,Doti,Sudur Paschimanchal
2,Shikhar Municipality,Doti,Sudur Paschimanchal
3,Shikhar Municipality,Doti,Sudur Paschimanchal
4,Shikhar Municipality,Doti,Sudur Paschimanchal
5,Shikhar Municipality,Doti,Sudur Paschimanchal
6,Shikhar Municipality,Doti,Sudur Paschimanchal
7,Shikhar Municipality,Doti,Sudur Paschimanchal
8,Shikhar Municipality,Doti,Sudur Paschimanchal
9,Shikhar Municipality,Doti,Sudur Paschimanchal
10,Shikhar Municipality,Doti,Sudur Paschimanchal
11,Shikhar Municipality,Doti,Sudur Paschimanchal
1,Aadarsha Rural Municipality,Doti,Sudur Paschimanchal
2,Aadarsha Rural Municipality,Doti,Sudur Paschimanchal
3,Aadarsha Rural Municipality,Doti,Sudur Paschimanchal
